	ala	arg	asn	asp	cys	gln	glu	gly	his	ile	leu	lys	met	phe	pro	ser	thr	trp	tyr	val
ala	34	13	18	1	5	21	15	13	3	17	57	0	12	46	6	30	20	1	15	37	
arg	5	104	15	36	0	40	87	9	52	23	46	6	10	43	17	33	4	33	76	29	
asn	5	20	39	10	2	11	10	4	9	32	39	2	3	38	14	8	14	4	30	11	
asp	1	44	12	28	0	32	6	7	10	6	18	37	2	53	2	24	13	8	17	11	
cys	1	0	3	0	40	0	0	4	14	6	1	0	0	8	0	0	0	0	8	2	
gln	7	25	16	7	1	32	20	3	0	22	23	14	7	8	2	22	13	26	20	12	
glu	14	87	11	14	0	16	24	11	46	13	28	24	9	1	40	47	34	49	26	18	
gly	17	21	3	6	6	16	22	33	1	11	57	17	16	47	17	7	0	24	45	21	
his	2	17	7	11	13	14	29	3	9	3	11	1	0	9	0	4	1	0	7	10	
ile	14	24	15	7	8	21	10	16	17	98	80	1	8	72	24	11	21	8	32	48	
leu	56	51	9	24	5	27	24	56	7	73	197	19	30	108	16	14	58	26	58	61	
lys	5	19	2	38	3	19	32	2	2	4	23	6	3	10	14	23	9	7	38	3	
met	5	3	7	5	0	5	16	4	11	12	28	2	30	44	2	6	8	10	10	4	
phe	29	48	21	10	12	17	19	57	5	47	129	47	14	255	25	25	22	42	55	69	
pro	3	3	7	11	0	3	37	14	0	24	20	17	0	12	14	7	5	13	18	14	
ser	17	32	16	14	0	35	41	13	4	5	32	11	6	22	11	13	21	10	22	15	
thr	9	24	4	23	1	6	36	6	3	31	41	7	2	8	6	11	100	4	22	23	
trp	2	13	2	3	0	30	38	0	1	5	12	6	5	15	0	3	5	8	24	3	
tyr	12	56	35	11	9	14	55	57	35	30	103	20	12	65	19	44	26	13	215	26	
val	20	18	13	30	0	7	14	25	7	40	56	5	8	89	6	21	24	9	44	51	
